GeneName	UniprotID.Cha	UniprotID.Tya	UniprotID.Kang	UniprotID.Gamez	Dataset
BTD	NA	NA	NA	NA	Pav
BTN3A3	NA	NA	NA	NA	Pav
C11orf54	NA	Q9H0W9-2|Q9H0W9|Q9H0W9-3|E9PQS1|Q9H0W9-4|E9PPB5|E9PJU8	NA	NA	Tya
C12orf10	NA	Q9HB07|F8VQQ3|F8VR84	NA	NA	Tya
C1QB	NA	NA	NA	NA	Pav
C1QC	NA	NA	NA	NA	Pav
C1R	NA	NA	NA	NA	Pav
C1RL	NA	NA	NA	NA	Pav
C1S	NA	NA	NA	NA	Pav
C1S	NA	NA	NA	NA	Pav
C3	NA	NA	NA	NA	Pav
C4A	NA	NA	NA	NA	Pav
C4B	NA	NA	NA	NA	Pav
C4BPA	NA	NA	NA	NA	Pav
C4BPB	NA	NA	NA	NA	Pav
C5	NA	NA	NA	NA	Pav
C6	NA	NA	NA	NA	Pav
C7	NA	NA	NA	NA	Pav
C8A	NA	NA	NA	NA	Pav
C9	NA	NA	NA	NA	Pav
C9orf114	NA	Q5T280	NA	NA	Tya
CA1	NA	NA	NA	NA	Pav
CA2	NA	NA	NA	NA	Pav
CACNA2D1	NA	NA	NA	NA	Pav
CADM4	NA	NA	NA	NA	Pav
CALD1	Q05682	NA	NA	NA	Cha
CALM	NA	NA	NA	NA	Pav
CALR	NA	NA	NA	NA	Pav
CAND1	NA	NA	NA	NA	Pav
CAP1	NA	NA	NA	NA	Pav
CAPG	NA	NA	NA	NA	Pav
CAPN7	NA	Q9Y6W3	NA	NA	Tya
CARS2	NA	Q9HA77	NA	NA	Tya
CASP14	NA	NA	NA	NA	Pav
CAT	NA	NA	NA	NA	Pav
CATD	P07339	NA	NA	NA	Cha
CAV1	Q03135	NA	NA	NA	Cha
CB079	Q6GMV3	NA	NA	NA	Cha
CBX3	Q13185	NA	NA	NA	Cha|Pav
CCT8	NA	NA	NA	NA	Pav
CD109	NA	NA	NA	NA	Pav
CD14	NA	NA	NA	NA	Pav
CD44	NA	NA	NA	NA	Pav
CD55	NA	NA	NA	NA	Pav
CD59	NA	NA	NA	NA	Pav
CD5L	NA	NA	NA	NA	Pav
CD81	NA	NA	NA	NA	Pav
CD9	NA	NA	NA	NA	Pav
CDC42	NA	NA	NA	NA	Pav
CDH1	NA	NA	NA	NA	Pav
CDH3	NA	NA	NA	NA	Pav
CDK12	NA	Q9NYV4-2|Q9NYV4|J3QSD7|Q9NYV4-3	NA	NA	Tya
CEACAM1	NA	NA	NA	NA	Pav
CEACAM6	NA	P40199	NA	NA	Tya
CEL	NA	NA	NA	NA	Pav
CES1	NA	NA	NA	NA	Pav
CF211	Q9H993	NA	NA	NA	Cha
CFB	NA	NA	NA	NA	Pav
CFH	NA	NA	NA	NA	Pav
CFHR1	NA	NA	NA	NA	Pav
CFI	NA	NA	NA	NA	Pav
CFL1	NA	NA	NA	NA	Pav
CFP	NA	NA	NA	NA	Pav
CGREF1	NA	NA	NA	NA	Pav
CHGB	NA	NA	NA	NA	Pav
CHI3L1	NA	NA	NA	NA	Pav
CHID1	Q9BWS9	NA	NA	NA	Cha
CHIT1	NA	NA	NA	NA	Pav
CIB1	NA	NA	NA	NA	Pav
CLCA2	NA	NA	NA	NA	Pav
CLIC1	NA	NA	NA	NA	Pav
CLIC4	Q9Y696	NA	NA	NA	Cha
CLIC6	Q96NY7	NA	NA	NA	Cha
CLSTN1	NA	NA	NA	NA	Pav
CLTB	NA	NA	NA	NA	Pav
CLU	NA	NA	NA	NA	Pav
CMBL	NA	Q96DG6	NA	Q96DG6	Tya|Gamez
CNDP2	NA	NA	NA	NA	Pav
CNN1	P51911	NA	NA	NA	Cha
CNN2	Q99439	NA	NA	NA	Cha
CNTN1	NA	NA	NA	NA	Pav
CO4B	P0C0L5	NA	NA	NA	Cha
COCA1	Q99715	NA	NA	NA	Cha
COEA1	Q05707	NA	NA	NA	Cha
COFA1	P39059	NA	NA	NA	Cha
