GeneName	UniprotID.Cha	UniprotID.Tya	UniprotID.Kang	UniprotID.Gamez	Dataset
LAMB2	P55268	NA	NA	NA	Cha
LAMB3	Q13751	NA	NA	NA	Cha|Pav
LAMC1	P11047	NA	NA	NA	Cha|Pav
LAMC2	Q13753	NA	NA	NA	Cha|Pav
LAMP1	NA	NA	NA	NA	Pav
LAMP2	NA	NA	NA	NA	Pav
LAP3	NA	NA	NA	NA	Pav
LASS2	Q96G23	NA	NA	NA	Cha
LBP	NA	NA	NA	NA	Pav
LCN2	NA	NA	NA	NA	Pav
LCP1	NA	NA	NA	NA	Pav
LDHA	NA	NA	NA	NA	Pav
LDHB	P07195	NA	NA	P07195	Cha|Pav|Gamez
LEG7	P47929	NA	NA	NA	Cha
LETM1	O95202	NA	NA	NA	Cha
LFNG	NA	NA	NA	NA	Pav
LGALS1	NA	NA	NA	NA	Pav
LGALS3	NA	NA	NA	NA	Pav
LGALS3BP	NA	NA	NA	NA	Pav
LGMN	NA	NA	NA	NA	Pav
LMAN1	P49257	NA	NA	NA	Cha
LMAN2	Q12907	NA	NA	NA	Cha|Pav
LMNA	NA	NA	NA	NA	Pav
LMNB2	NA	NA	NA	NA	Pav
LRBA	P50851	NA	NA	NA	Cha
LRC59	Q96AG4	NA	NA	NA	Cha
LRG1	NA	NA	NA	NA	Pav
LRP2	NA	NA	NA	NA	Pav
LRRF1	Q32MZ4	NA	NA	NA	Cha
LSR	NA	NA	NA	NA	Pav
LTBP2	NA	NA	NA	NA	Pav
LTBP4	NA	NA	NA	NA	Pav
LTF	NA	NA	NA	NA	Pav
LUM	NA	NA	NA	NA	Pav
LY6D	NA	NA	NA	NA	Pav
LYN	NA	NA	NA	NA	Pav
LYNX1	NA	NA	NA	NA	Pav
LYPD3	NA	NA	NA	NA	Pav
LYRIC	Q86UE4	NA	NA	NA	Cha
LYZ	NA	NA	NA	NA	Pav
MAGD2	Q9UNF1	NA	NA	NA	Cha
MAN1A1	NA	NA	NA	NA	Pav
MANBA	NA	NA	NA	NA	Pav
MAOB	NA	B7Z242|P27338|B7Z5H3	NA	NA	Tya
MAPK3	NA	P27361|P27361-2|E9PQW4|P27361-3|E9PJF0|E9PBK7|B3KR49	NA	NA	Tya
MARCKS	NA	NA	NA	NA	Pav
MARCKSL1	NA	NA	NA	NA	Pav
MATN2	O00339	NA	NA	NA	Cha
MCM3	NA	P25205	NA	NA	Tya
MCM5	NA	P33992|B1AHB1	NA	NA	Tya
MDH1	NA	NA	NA	NA	Pav
MDH2	NA	NA	NA	NA	Pav
MDK	NA	NA	NA	NA	Pav
MET7A	Q9H8H3	NA	NA	NA	Cha
MFGE8	NA	NA	NA	NA	Pav
MFI2	NA	NA	NA	NA	Pav
MGC45438	NA	NA	NA	NA	Pav
MGP	NA	NA	NA	NA	Pav
MIME	P20774	NA	NA	NA	Cha
MIPEP	NA	Q99797	NA	NA	Tya
MLPH	NA	Q9BV36-2|Q9BV36|B4DKW7|G5E9G5	NA	NA	Tya
MMP1	NA	NA	NA	NA	Pav
MMP14	NA	NA	NA	NA	Pav
MMP7	NA	NA	NA	NA	Pav
MPO	NA	NA	NA	NA	Pav
MRLC2	NA	NA	NA	NA	Pav
MRPS27	NA	Q92552|B4DRT2|G5EA06|D6RH20	NA	NA	Tya
MSLN	NA	NA	NA	NA	Pav
MSN	NA	NA	NA	P26038	Pav|Gamez
MT1G	NA	NA	NA	NA	Pav
MTCH2	Q9Y6C9	NA	NA	NA	Cha
MTPN	NA	NA	NA	NA	Pav
MUC1	NA	NA	NA	NA	Pav
MUC16	NA	NA	NA	NA	Pav
MUC2	NA	NA	NA	NA	Pav
MUC4	NA	NA	NA	NA	Pav
MUC5B	NA	NA	NA	NA	Pav
MUC6	NA	NA	NA	NA	Pav
MUCL1	NA	NA	NA	NA	Pav
MVP	Q14764	NA	NA	NA	Cha
MYCBP	Q99417	NA	NA	NA	Cha
MYH11	P35749	NA	NA	NA	Cha
MYH14	NA	NA	NA	NA	Pav
MYH9	NA	NA	NA	NA	Pav
MYL6	NA	NA	NA	NA	Pav
MYL9	P24844	NA	NA	NA	Cha
MYLK	Q15746	NA	NA	NA	Cha
MYOF	Q9NZM1	NA	NA	NA	Cha
NACA	NA	NA	NA	NA	Pav
NAGK	Q9UJ70	NA	NA	NA	Cha
NAGLU	NA	NA	NA	NA	Pav
NASP	NA	NA	NA	P49321	Pav|Gamez
NB5R1	Q9UHQ9	NA	NA	NA	Cha
NB5R3	P00387	NA	NA	NA	Cha
NBL1	NA	NA	NA	NA	Pav
NCAM2	NA	NA	NA	NA	Pav
NCL	NA	NA	NA	NA	Pav
NDK3	Q13232	NA	NA	NA	Cha
NDKA	P15531	NA	NA	NA	Cha
NDRG2	Q9UN36	Q9UN36|G3V3N4|Q9UN36-3|G3V2I9|G3V578|H0YJT9|G3V383|G3V5L7|G3V5S0	NA	NA	Cha|Tya
NDUFAB1	NA	O14561|I3L505|H3BNK3	NA	NA	Tya
NEP	P08473	NA	NA	NA	Cha
NEST	P48681	NA	NA	NA	Cha
NID1	P14543	NA	NA	NA	Cha|Pav
NID2	Q14112	NA	NA	NA	Cha
NLTP	P22307	NA	NA	NA	Cha
NME2	NA	NA	NA	NA	Pav
NOTCH2	NA	NA	NA	NA	Pav
NOV	NA	NA	NA	NA	Pav
NP	NA	NA	NA	NA	Pav
NP1L4	Q99733	NA	NA	NA	Cha
NPC2	NA	NA	NA	NA	Pav
NPM1	NA	NA	NA	NA	Pav
NSF	P46459	NA	NA	NA	Cha
NSUN2	Q08J23	NA	NA	NA	Cha
NTRK2	NA	NA	NA	NA	Pav
NUCB1	NA	NA	NA	NA	Pav
NUCB2	NA	NA	NA	NA	Pav
O00533	NA	NA	CHL1	NA	Kang
O43866	NA	NA	CD5L	NA	Kang
O75882	NA	NA	ATRN	NA	Kang
O95045	NA	NA	UPP2	NA	Kang
O95255	NA	NA	ABCC6	NA	Kang
O95445	NA	NA	APOM	NA	Kang
OAF	NA	NA	NA	NA	Pav
ODPA	P08559	NA	NA	NA	Cha
OLA1	NA	NA	NA	NA	Pav
OLFM1	NA	NA	NA	NA	Pav
OLFM4	NA	NA	NA	NA	Pav
OLFML2A	NA	NA	NA	NA	Pav
ORM1	NA	NA	NA	NA	Pav
ORM2	NA	NA	NA	NA	Pav
P00450	NA	NA	CP	NA	Kang
P00488	NA	NA	F13A1	NA	Kang
P00734	NA	NA	F2	NA	Kang
P00736	NA	NA	C1R	NA	Kang
P00738	NA	NA	HP	NA	Kang
P00740	NA	NA	F9	NA	Kang
P00742	NA	NA	F10	NA	Kang
P00747	NA	NA	PLG	NA	Kang
P00748	NA	NA	F12	NA	Kang
P00751	NA	NA	CFB	NA	Kang
P01008	NA	NA	SERPINC1	NA	Kang
P01011	NA	NA	SERPINA3	NA	Kang
P01023	NA	NA	A2M	NA	Kang
P01024	NA	NA	C3	NA	Kang
P01031	NA	NA	C5	NA	Kang
P01042	NA	NA	KNG1	NA	Kang
P01344	NA	NA	IGF2	NA	Kang
P01591	NA	NA	JCHAIN	NA	Kang
P01714	NA	NA	P01714	NA	Kang
P01714	NA	NA	IGLV3-19	NA	Kang
P01715	NA	NA	P01715	NA	Kang
P01715	NA	NA	IGLV3-1	NA	Kang
P02649	NA	NA	APOE	NA	Kang
P02652	NA	NA	APOA2	NA	Kang
P02675	NA	NA	FGB	NA	Kang
P02679	NA	NA	FGG	NA	Kang
P02745	NA	NA	C1QA	NA	Kang
P02748	NA	NA	C9	NA	Kang
P02749	NA	NA	APOH	NA	Kang
P02751	NA	NA	FN1	NA	Kang
P02753	NA	NA	RBP4	NA	Kang
P02760	NA	NA	AMBP	NA	Kang
P02763	NA	NA	ORM1	NA	Kang
P02765	NA	NA	AHSG	NA	Kang
P02766	NA	NA	TTR	NA	Kang
P02768	NA	NA	ALB	NA	Kang
P02774	NA	NA	GC	NA	Kang
P02775	NA	NA	PPBP	NA	Kang
P02787	NA	NA	TF	NA	Kang
P02790	NA	NA	HPX	NA	Kang
P04003	NA	NA	C4BPA	NA	Kang
P04004	NA	NA	VTN	NA	Kang
P04114	NA	NA	APOB	NA	Kang
P04196	NA	NA	HRG	NA	Kang
P04217	NA	NA	A1BG	NA	Kang
P04220	NA	NA	P04220	NA	Kang
P05090	NA	NA	APOD	NA	Kang
P05109	NA	NA	S100A8	NA	Kang
P05155	NA	NA	SERPING1	NA	Kang
P05156	NA	NA	CFI	NA	Kang
P05160	NA	NA	F13B	NA	Kang
P05452	NA	NA	CLEC3B	NA	Kang
P06126	NA	NA	CD1A	NA	Kang
P06396	NA	NA	GSN	NA	Kang
P06681	NA	NA	C2	NA	Kang
P07357	NA	NA	C8A	NA	Kang
P07358	NA	NA	C8B	NA	Kang
P08519	NA	NA	LPA	NA	Kang
P08571	NA	NA	CD14	NA	Kang
P08603	NA	NA	CFH	NA	Kang
P08697	NA	NA	SERPINF2	NA	Kang
P09086	NA	NA	POU2F2	NA	Kang
P09871	NA	NA	C1S	NA	Kang
P10643	NA	NA	C7	NA	Kang
P10909	NA	NA	CLU	NA	Kang
P13591	NA	NA	NCAM1	NA	Kang
P13645	NA	NA	KRT10	NA	Kang
P13671	NA	NA	C6	NA	Kang
P14151	NA	NA	SELL	NA	Kang
P15169	NA	NA	CPN1	NA	Kang
P19652	NA	NA	ORM2	NA	Kang
P20851	NA	NA	C4BPB	NA	Kang
P22352	NA	NA	GPX3	NA	Kang
P22792	NA	NA	CPN2	NA	Kang
P23142	NA	NA	FBLN1	NA	Kang
P25311	NA	NA	AZGP1	NA	Kang
P27169	NA	NA	PON1	NA	Kang
P27918	NA	NA	CFP	NA	Kang
P29622	NA	NA	SERPINA4	NA	Kang
P31994	NA	NA	FCGR2B	NA	Kang
P35908	NA	NA	KRT2	NA	Kang
P36955	NA	NA	SERPINF1	NA	Kang
P36980	NA	NA	CFHR2	NA	Kang
P42338	NA	NA	PIK3CB	NA	Kang
P43251	NA	NA	BTD	NA	Kang
P43652	NA	NA	AFM	NA	Kang
P48740	NA	NA	MASP1	NA	Kang
P4HB	NA	NA	NA	NA	Pav
P50991	NA	NA	CCT4	NA	Kang
P51884	NA	NA	LUM	NA	Kang
P52789	NA	NA	HK2	NA	Kang
P59666	NA	NA	DEFA3	NA	Kang
P5CR1	P32322	NA	NA	NA	Cha
P5CS	P54886	NA	NA	NA	Cha
P68871	NA	NA	HBB	NA	Kang
P98160	NA	NA	HSPG2	NA	Kang
PA2G4	NA	NA	NA	NA	Pav
PABPC1	NA	NA	NA	NA	Pav
PADI2	Q9Y2J8	NA	NA	NA	Cha
PAFAH1B2	NA	NA	NA	NA	Pav
PALLD	Q8WX93	NA	NA	NA	Cha
PAM	NA	NA	NA	NA	Pav
PARP1	P09874	NA	NA	NA	Cha
PARVA	Q9NVD7	NA	NA	NA	Cha
PATE	NA	NA	NA	NA	Pav
PCBP1	NA	NA	NA	NA	Pav
PCBP2	NA	NA	NA	NA	Pav
PCDH1	NA	NA	NA	NA	Pav
PCMT1	NA	NA	NA	NA	Pav
PCSK9	NA	NA	NA	NA	Pav
PCTL	Q9Y365	NA	NA	NA	Cha
PDCD4	Q53EL6	NA	NA	NA	Cha
PDCD6IP	NA	NA	NA	NA	Pav
PDGFA	NA	NA	NA	NA	Pav
PDIA3	NA	NA	NA	NA	Pav
PDIA3	NA	NA	NA	NA	Pav
PDIA4	NA	NA	NA	NA	Pav
PDIA6	NA	NA	NA	NA	Pav
PDLI1	O00151	NA	NA	NA	Cha
PDLIM1	NA	NA	NA	NA	Pav
PDXD1	Q6P996	NA	NA	NA	Cha
PDZD8	NA	NA	NA	NA	Pav
PEBP1	NA	NA	NA	NA	Pav
PES1	NA	B5MCF9|O00541|B3KXD6	NA	NA	Tya
PFN1	NA	NA	NA	NA	Pav
PGAM2	NA	NA	NA	NA	Pav
PGBM	P98160	NA	NA	NA	Cha
PGC	NA	NA	NA	NA	Pav
PGD	NA	NA	NA	NA	Pav
PGK1	NA	NA	NA	NA	Pav
PGLYRP2	NA	NA	NA	NA	Pav
PGM2	NA	Q96G03|F5H6V2	NA	NA	Tya
PGS1	P21810	NA	NA	NA	Cha
PGS2	P07585	NA	NA	NA	Cha
PHF5A	Q7RTV0	NA	NA	NA	Cha
PHLDA2	NA	Q53GA4	NA	NA	Tya
PHS	P61457	NA	NA	NA	Cha
PI3	NA	NA	NA	NA	Pav
PIGR	P01833	NA	NA	NA	Cha|Pav
PIK3IP1	NA	NA	NA	NA	Pav
PIP	NA	NA	NA	NA	Pav
PKM2	NA	NA	NA	NA	Pav
PLAT	NA	NA	NA	NA	Pav
PLAU	NA	NA	NA	NA	Pav
PLAUR	NA	NA	NA	NA	Pav
PLEC1	NA	NA	NA	NA	Pav
PLG	NA	NA	NA	NA	Pav
PLTP	NA	NA	NA	NA	Pav
PM20D1	NA	NA	NA	NA	Pav
PML	P29590	NA	NA	NA	Cha
PNLIPRP3	NA	NA	NA	NA	Pav
PNP	NA	P00491|G3V5M2|G3V308	NA	NA	Tya
PODXL	NA	NA	NA	NA	Pav
PODXL2	NA	NA	NA	NA	Pav
PON1	NA	NA	NA	NA	Pav
POSTN	NA	NA	NA	NA	Pav
PP1A	P62136	NA	NA	NA	Cha
PP2AA	P67775	NA	NA	NA	Cha
PP2AB	P62714	NA	NA	NA	Cha
PPCKM	Q16822	NA	NA	NA	Cha
PPIA	NA	NA	NA	NA	Pav
PPIB	NA	NA	NA	NA	Pav
PPIC	NA	NA	NA	NA	Pav
PRB1	NA	NA	NA	NA	Pav
PRDX1	NA	NA	NA	NA	Pav
PRDX2	NA	NA	NA	NA	Pav
PRDX3	NA	NA	NA	NA	Pav
PRDX4	Q13162	NA	NA	NA	Cha|Pav
PRDX5	NA	NA	NA	NA	Pav
PRDX6	NA	NA	NA	NA	Pav
PRIM2	NA	P49643	NA	NA	Tya
PRKCSH	NA	NA	NA	NA	Pav
PROL1	NA	NA	NA	NA	Pav
PROM1	NA	NA	NA	NA	Pav
PROS1	NA	NA	NA	NA	Pav
PRP19	Q9UMS4	NA	NA	NA	Cha
PRSS23	NA	NA	NA	NA	Pav
PRSS8	NA	NA	NA	NA	Pav
PRTN3	NA	NA	NA	NA	Pav
PSA	P55786	NA	NA	NA	Cha
PSA6	P60900	NA	NA	NA	Cha
PSAP	NA	NA	NA	NA	Pav
PSB5	P28074	NA	NA	NA	Cha
PSCA	NA	NA	NA	NA	Pav
PSD13	Q9UNM6	NA	NA	NA	Cha
PSMA2	NA	NA	NA	NA	Pav
PSMA5	NA	NA	NA	NA	Pav
PSMB1	NA	NA	NA	NA	Pav
PSMB3	NA	NA	NA	NA	Pav
PSMB4	NA	NA	NA	NA	Pav
PSME1	NA	NA	NA	NA	Pav
PTAD1	Q9P035	NA	NA	NA	Cha
PTBP1	NA	NA	NA	NA	Pav
PTGES3	NA	NA	NA	NA	Pav
PTK7	NA	NA	NA	NA	Pav
PTN1	P18031	NA	NA	NA	Cha
PTPN2	NA	P17706|P17706-2|P17706-3|K7ENG3|K7EQG9	NA	NA	Tya
PTPRF	NA	NA	NA	NA	Pav
PTRF	Q6NZI2	NA	NA	NA	Cha
PURA	Q00577	NA	NA	NA	Cha
PURA2	P30520	NA	NA	NA	Cha
PURB	Q96QR8	NA	NA	NA	Cha
PVRL1	NA	NA	NA	NA	Pav
PVRL2	NA	NA	NA	NA	Pav
PXDN	NA	NA	NA	NA	Pav
PYCARD	NA	NA	NA	NA	Pav
PYGB	P11216	NA	NA	NA	Cha
PZP	NA	NA	NA	NA	Pav
Q01546	NA	NA	KRT76	NA	Kang
Q03591	NA	NA	CFHR1	NA	Kang
Q04756	NA	NA	HGFAC	NA	Kang
Q12805	NA	NA	EFEMP1	NA	Kang
Q12986	NA	NA	NFX1	NA	Kang
Q13098	NA	NA	GPS1	NA	Kang
Q13164	NA	NA	MAPK7	NA	Kang
Q13608	NA	NA	PEX6	NA	Kang
Q14520	NA	NA	HABP2	NA	Kang
Q14624	NA	NA	ITIH4	NA	Kang
Q15113	NA	NA	PCOLCE	NA	Kang
Q16610	NA	NA	ECM1	NA	Kang
Q5THK1	NA	NA	PRR14L	NA	Kang
Q68E01	NA	NA	INTS3	NA	Kang
Q7Z3Z0	NA	NA	KRT25	NA	Kang
Q8IVF5	NA	NA	TIAM2	NA	Kang
Q8TBF2	NA	NA	FAM213B	NA	Kang
Q8WVX6	NA	NA	WAPAL	NA	Kang
Q8WX92	NA	NA	NELFB	NA	Kang
Q92496	NA	NA	CFHR4	NA	Kang
Q92618	NA	NA	ZNF516	NA	Kang
Q92954	NA	NA	PRG4	NA	Kang
Q96DD0	NA	NA	LRRC39	NA	Kang
Q96JQ0	NA	NA	DCHS1	NA	Kang
Q96MN2	NA	NA	NLRP4	NA	Kang
Q96P70	NA	NA	IPO9	NA	Kang
Q96PD5	NA	NA	PGLYRP2	NA	Kang
Q96S65	NA	NA	CSRNP1	NA	Kang
Q9BXR6	NA	NA	CFHR5	NA	Kang
Q9HDC9	NA	NA	APMAP	NA	Kang
Q9NXV2	NA	NA	KCTD5	NA	Kang
Q9P2F8	NA	NA	SIPA1L2	NA	Kang
Q9UGM5	NA	NA	FETUB	NA	Kang
Q9ULW2	NA	NA	FZD10	NA	Kang
Q9Y3M8	NA	NA	STARD13	NA	Kang
Q9Y5Y4	NA	NA	PTGDR2	NA	Kang
Q9Y623	NA	NA	MYH4	NA	Kang
QSOX1	NA	NA	NA	NA	Pav
RAB10	NA	NA	NA	NA	Pav
RAB11B	NA	NA	NA	NA	Pav
RAB14	P61106	NA	NA	NA	Cha
RAB3D	O95716	NA	NA	NA	Cha
RABP1	P29762	NA	NA	NA	Cha
RABP2	P29373	NA	NA	NA	Cha
RAD23A	NA	NA	NA	NA	Pav
RAD23B	NA	NA	NA	NA	Pav
RAN	P62826	NA	NA	NA	Cha
RAP1B	NA	NA	NA	NA	Pav
RARRES1	NA	NA	NA	NA	Pav
RBMX	NA	NA	NA	NA	Pav
RBP4	NA	NA	NA	NA	Pav
RCL1	NA	Q9Y2P8	NA	NA	Tya
RENT1	Q92900	NA	NA	NA	Cha
RHOC	NA	NA	NA	NA	Pav
RNASE1	NA	NA	NA	NA	Pav
RNASET2	NA	NA	NA	NA	Pav
RPLP1	NA	NA	NA	NA	Pav
RPLP2	NA	NA	NA	NA	Pav
RPS10	NA	NA	NA	NA	Pav
RPS12	NA	NA	NA	NA	Pav
RPS27A	NA	NA	NA	NA	Pav
RPS5	NA	NA	NA	NA	Pav
RS27L	Q71UM5	NA	NA	NA	Cha
RTN4RL2	NA	NA	NA	NA	Pav
S100A11	NA	NA	NA	NA	Pav
S100A12	NA	NA	NA	NA	Pav
S100A6	NA	NA	NA	NA	Pav
S100A7	NA	NA	NA	NA	Pav
S100A8	NA	NA	NA	NA	Pav
S100A9	NA	NA	NA	NA	Pav
S100P	P25815	NA	NA	NA	Cha|Pav
S10A8	P05109	NA	NA	NA	Cha
S10AB	P31949	NA	NA	NA	Cha
S10AE	Q9HCY8	NA	NA	NA	Cha
SAA4	NA	NA	NA	NA	Pav
SAP	P07602	NA	NA	NA	Cha
SAR1A	Q9NR31	NA	NA	NA	Cha
SC23B	Q15437	NA	NA	NA	Cha
SCAM2	O15127	NA	NA	NA	Cha
SCAM3	O14828	NA	NA	NA	Cha
SCFV	NA	NA	NA	NA	Pav
SCFV	NA	NA	NA	NA	Pav
SCGB1A1	NA	NA	NA	NA	Pav
SCGB1D2	NA	NA	NA	NA	Pav
SCP2	NA	NA	NA	NA	Pav
SCPDH	Q8NBX0	NA	NA	NA	Cha
SCPEP1	NA	NA	NA	NA	Pav
SCUBE2	NA	NA	NA	NA	Pav
SCYL1	NA	Q96KG9-3|E9PS17|Q96KG9-2|Q96KG9|E9PK59|Q96KG9-4|Q96KG9-5|Q96KG9-6|E9PPN3	NA	NA	Tya
SDC1	NA	NA	NA	NA	Pav
SDC4	NA	NA	NA	NA	Pav
SDCBP	NA	NA	NA	NA	Pav
SDF4	NA	NA	NA	NA	Pav
SEC16A	NA	J3KNL6|O15027|O15027-4|O15027-2|O15027-3	NA	NA	Tya
SELENBP1	NA	NA	NA	NA	Pav
SEMA4B	NA	NA	NA	NA	Pav
SEMG1	NA	NA	NA	NA	Pav
SEMG2	NA	NA	NA	NA	Pav
SEPP1	NA	NA	NA	NA	Pav
SEPT9	Q9UHD8	NA	NA	NA	Cha
SERA	O43175	NA	NA	NA	Cha
SERPINA1	NA	NA	NA	NA	Pav
SERPINA11	NA	NA	NA	NA	Pav
SERPINA3	NA	NA	NA	NA	Pav
SERPINA4	NA	NA	NA	NA	Pav
SERPINA5	NA	NA	NA	NA	Pav
SERPINA6	NA	NA	NA	NA	Pav
SERPINA7	NA	NA	NA	NA	Pav
SERPINB1	NA	NA	NA	NA	Pav
SERPINB2	NA	NA	NA	NA	Pav
SERPINB5	NA	NA	NA	NA	Pav
SERPINB5	NA	NA	NA	NA	Pav
SERPINC1	NA	NA	NA	NA	Pav
SERPINC1	NA	NA	NA	NA	Pav
SERPIND1	NA	NA	NA	NA	Pav
SERPINF1	NA	NA	NA	NA	Pav
SERPINF2	NA	NA	NA	NA	Pav
SERPING1	NA	NA	NA	NA	Pav
SERPINH1	NA	NA	NA	NA	Pav
SERPINI1	NA	NA	NA	NA	Pav
SET	NA	NA	NA	NA	Pav
SFN	NA	NA	NA	NA	Pav
SFPQ	NA	NA	NA	NA	Pav
SFRS1	NA	NA	NA	NA	Pav
SH3BGRL3	NA	NA	NA	NA	Pav
SHBG	NA	NA	NA	NA	Pav
SHOT1	A0MZ66	NA	NA	NA	Cha
SIAE	NA	NA	NA	NA	Pav
SIAS	Q9NR45	NA	NA	NA	Cha
SIL1	NA	NA	NA	NA	Pav
SIRPA	NA	NA	NA	NA	Pav
SLC4A1	NA	NA	NA	NA	Pav
SLC9A3R1	NA	NA	NA	NA	Pav
SLPI	NA	NA	NA	NA	Pav
SMD3	P62318	NA	NA	NA	Cha
SMPDL3B	NA	NA	NA	NA	Pav
SNAA	P54920	NA	NA	NA	Cha
SNCG	NA	NA	NA	NA	Pav
SOD1	NA	NA	NA	NA	Pav
SOD2	NA	NA	NA	NA	Pav
SOD3	NA	NA	NA	NA	Pav
SODM	P04179	NA	NA	NA	Cha
SORT1	NA	NA	NA	NA	Pav
SPARC	NA	NA	NA	NA	Pav
SPARCL1	NA	NA	NA	NA	Pav
SPB5	P36952	NA	NA	NA	Cha
SPB6	P35237	NA	NA	NA	Cha
SPINT1	NA	NA	NA	NA	Pav
SPP1	NA	NA	NA	NA	Pav
SPP1	NA	NA	NA	NA	Pav
SPRE	P35270	NA	NA	NA	Cha
SPRR1A	NA	NA	NA	NA	Pav
SPRR1B	NA	NA	NA	NA	Pav
SPTA1	NA	NA	NA	NA	Pav
SPTA2	Q13813	NA	NA	NA	Cha
SPTB	NA	NA	NA	NA	Pav
SPTB2	Q01082	NA	NA	NA	Cha
SQRD	Q9Y6N5	NA	NA	NA	Cha
SSRA	P43307	NA	NA	NA	Cha
ST14	NA	NA	NA	NA	Pav
STA5A	P42229	NA	NA	NA	Cha
STAT1	P42224	NA	NA	P42224	Cha|Gamez
STATH	NA	NA	NA	NA	Pav
STC1	NA	NA	NA	NA	Pav
STC2	NA	NA	NA	NA	Pav
STIP1	P31948	NA	NA	P31948	Cha|Pav|Gamez
STMN1	NA	P16949|P16949-2|A2A2D0	NA	NA	Pav|Tya
STOM	NA	NA	NA	NA	Pav
SUB1	NA	NA	NA	NA	Pav
SURF4	NA	O15260|O15260-2|Q5T8U5|Q5T8U7|B7Z6A4	NA	NA	Tya
SYEP	P07814	NA	NA	NA	Cha
SYG	P41250	NA	NA	NA	Cha
SYIM	Q9NSE4	NA	NA	NA	Cha
SYRC	P54136	NA	NA	NA	Cha
SYTC	P26639	NA	NA	NA	Cha
TACD2	P09758	NA	NA	NA	Cha
TACSTD2	NA	NA	NA	NA	Pav
TAGL	Q01995	NA	NA	NA	Cha
TAGLN2	NA	NA	NA	NA	Pav
TALDO1	NA	NA	NA	NA	Pav
TBA4A	P68366	NA	NA	NA	Cha
TBCA	O75347	NA	NA	NA	Cha
TCN1	NA	NA	NA	NA	Pav
TF	NA	NA	NA	NA	Pav
TFF1	NA	NA	NA	NA	Pav
TFF3	NA	NA	NA	NA	Pav
TFPI	NA	NA	NA	NA	Pav
TGFBI	NA	NA	NA	NA	Pav
TGM2	NA	NA	NA	NA	Pav
THBS1	NA	NA	NA	NA	Pav
THIK	P09110	NA	NA	NA	Cha
THIM	P42765	NA	NA	NA	Cha
TIMP1	NA	NA	NA	NA	Pav
TIMP2	NA	NA	NA	NA	Pav
TINAGL1	NA	NA	NA	NA	Pav
TINAL	Q9GZM7	NA	NA	NA	Cha
TKT	NA	NA	NA	NA	Pav
TLN1	NA	NA	NA	NA	Pav
TLR2	NA	NA	NA	NA	Pav
TM14C	Q9P0S9	NA	NA	NA	Cha
TM4SF1	NA	NA	NA	NA	Pav
TM9S2	Q99805	NA	NA	NA	Cha
TM9S4	Q92544	NA	NA	NA	Cha
TM9SF3	NA	Q9HD45|Q5TB53	NA	NA	Tya
TMED7	Q9Y3B3	NA	NA	NA	Cha
TMEM132A	NA	NA	NA	NA	Pav
TMSL3	NA	NA	NA	NA	Pav
TNC	NA	NA	NA	NA	Pav
TNFRSF21	NA	NA	NA	NA	Pav
TNPO1	Q92973	NA	NA	NA	Cha
TOMM70A	NA	O94826	NA	NA	Tya
TPD52	P55327	NA	NA	NA	Cha
TPI1	NA	NA	NA	NA	Pav
TPM2	P07951	NA	NA	NA	Cha
TPM3	P06753	NA	NA	NA	Cha|Pav
TPP1	O14773	NA	NA	NA	Cha|Pav
TPT1	NA	NA	NA	NA	Pav
TRAF2	NA	Q12933-4|Q12933-3|Q12933|Q12933-2|B1AMX9	NA	NA	Tya
TRFL	P02788	NA	NA	NA	Cha
TRXR1	Q16881	NA	NA	NA	Cha
TSNAX	NA	NA	NA	NA	Pav
TTR	NA	NA	NA	NA	Pav
TTYH3	NA	NA	NA	NA	Pav
TUBA1B	NA	NA	NA	NA	Pav
TUBB	NA	NA	NA	NA	Pav
TUBB2C	NA	NA	NA	NA	Pav
TXN	NA	NA	NA	NA	Pav
TXNDC17	NA	NA	NA	NA	Pav
TYMP	NA	NA	NA	NA	Pav
TYPH	P19971	NA	NA	NA	Cha
UBP14	P54578	NA	NA	NA	Cha
UCRP	P05161	NA	NA	NA	Cha
UGDH	O60701	NA	NA	NA	Cha
UGGG1	Q9NYU2	NA	NA	NA	Cha
ULBP2	NA	NA	NA	NA	Pav
UN84B	Q9UH99	NA	NA	NA	Cha
USO1	O60763	NA	NA	NA	Cha
VAMP2	P63027	NA	NA	NA	Cha
VAPB	O95292	NA	NA	NA	Cha
VAT1	NA	NA	NA	NA	Pav
VCL	NA	NA	NA	NA	Pav
VCP	NA	NA	NA	NA	Pav
VIGLN	Q00341	NA	NA	NA	Cha
VIM	NA	NA	NA	NA	Pav
VINC	P18206	NA	NA	NA	Cha
VIP	NA	NA	NA	NA	Pav
VTCN1	NA	NA	NA	NA	Pav
VTDB	P02774	NA	NA	NA	Cha
VTN	NA	NA	NA	NA	Pav
VWA1	NA	NA	NA	NA	Pav
VWF	NA	NA	NA	NA	Pav
WFDC2	NA	NA	NA	NA	Pav
WFS1	O76024	O76024	NA	NA	Cha|Tya
XPO2	P55060	NA	NA	NA	Cha
YBX1	NA	NA	NA	NA	Pav
YWHAB	NA	NA	NA	NA	Pav
YWHAE	NA	NA	NA	NA	Pav
YWHAG	NA	NA	NA	NA	Pav
YWHAZ	NA	NA	NA	NA	Pav
MFAP4	NA	NA	NA	A8MVM2	Gamez
TARS	NA	NA	NA	B4DEG8	Gamez
PYCR1	NA	NA	NA	B4DMU0	Gamez
